mode,generation,n_pairs,mean_adj_jaccard,mean_breakpoints,mean_kendall_tau
snp,0,190,1.000000,0.00,1.000000
snp,5,190,1.000000,0.00,1.000000
snp,10,190,1.000000,0.00,1.000000
snp,15,190,1.000000,0.00,1.000000
snp,20,190,1.000000,0.00,1.000000
snp,25,190,1.000000,0.00,1.000000
snp,30,190,0.986207,0.40,1.000000
snp,35,190,0.986207,0.40,1.000000
snp,40,190,0.986207,0.40,1.000000
snp,45,190,0.972507,0.80,1.000000
snp,50,190,0.972507,0.80,1.000000
snp,55,190,0.972507,0.80,1.000000
snp,60,190,0.972507,0.80,1.000000
snp,65,190,0.952775,1.40,1.000000
snp,70,190,0.952775,1.40,1.000000
snp,75,190,0.939609,1.79,1.000000
snp,80,190,0.939609,1.79,1.000000
snp,85,190,0.939609,1.79,1.000000
snp,90,190,0.939609,1.79,1.000000
snp,95,190,0.939609,1.79,1.000000
snp,100,190,0.939609,1.79,1.000000
indel,0,190,1.000000,0.00,1.000000
indel,5,190,1.000000,0.00,1.000000
indel,10,190,1.000000,0.00,1.000000
indel,15,190,1.000000,0.00,1.000000
indel,20,190,1.000000,0.00,1.000000
indel,25,190,1.000000,0.00,1.000000
indel,30,190,1.000000,0.00,1.000000
indel,35,190,0.986207,0.40,1.000000
indel,40,190,0.979381,0.60,1.000000
indel,45,190,0.979381,0.60,1.000000
indel,50,190,0.979381,0.60,1.000000
indel,55,190,0.979381,0.60,1.000000
indel,60,190,0.979381,0.60,1.000000
indel,65,190,0.979381,0.60,1.000000
indel,70,190,0.979381,0.60,1.000000
indel,75,190,0.979381,0.60,1.000000
indel,80,190,0.969176,0.90,1.000000
indel,85,190,0.955629,1.30,1.000000
indel,90,190,0.955629,1.30,1.000000
indel,95,190,0.955629,1.30,1.000000
indel,100,190,0.955629,1.30,1.000000
