band	n	median_inv_events	pct_ge_1	pct_ge_2	pct_ge_5
80-85	1850	2.0	69.83783783783784	59.56756756756757	38.972972972972975
85-88	17576	14.0	91.80700955848884	86.94811106053709	73.56053709604005
88-90	8163	11.0	90.32218547102781	84.5767487443342	68.44297439666789
90-92	6425	7.0	88.99610894941634	80.68482490272373	60.5603112840467
92-95	8644	4.0	85.4118463674225	75.31235539102268	48.970384081443775
95-97	1262	4.0	81.77496038034865	71.79080824088749	47.46434231378764
97-98	595	2.0	71.42857142857143	60.0	31.76470588235294
98-99	1064	2.0	63.06390977443609	50.56390977443609	22.838345864661655
99-99.5	617	0.0	44.40842787682334	32.57698541329012	14.910858995137763
99.5-100	1552	0.0	23.002577319587626	12.822164948453608	4.768041237113402
