group	n	pct	ci95_lo	ci95_hi
>=97, >=1	3828	45.1	43.5	46.7
>=97, >=2	3828	33.8	32.4	35.3
>=99, >=1	2169	29.1	27.2	31.0
>=99, >=2	2169	18.4	16.8	20.1
