phylum	share_discordant_pct	share_concordant_pct	fold
Proteobacteria	31.73745173745174	23.805763916304777	1.333183503332757
Firmicutes_A	15.907335907335906	11.054086063955785	1.4390457804743517
Bacteroidota	14.44015444015444	12.396367943150414	1.164869783341121
Firmicutes	12.586872586872586	8.961705487564153	1.4045175446056501
Actinobacteriota	12.432432432432433	9.67232530596131	1.285361279646994
Halobacteriota	1.6216216216216217	1.421239636794315	1.1409909909909912
Cyanobacteria	1.4671814671814671	1.342281879194631	1.093050193050193
Campylobacterota	1.1583011583011582	0.9869719699960521	1.1735907335907336
Spirochaetota	0.8494208494208495	1.1448874851954205	0.7419251764079351
Firmicutes_C	0.7722007722007722	1.0264508487958943	0.7523017523017522
