target	raw_r	anim_only	contigs_only	both	n
dnadiff breakpoints (all)	0.3608397445748449	0.36928125229980424	0.39844108734230466	0.41085053093647633	43334
dnadiff breakpoints (>=10 kb)	0.22064753474487725	0.22854709356910946	0.26307667515851485	0.2757047050669378	43334
dnadiff large indels (>=10 kb)	0.2889382599532293	0.29973118796952103	0.312692111145314	0.3269053454083191	43334
dnadiff inversions (all)	0.4946850891501668	0.4988370697389094	0.49513735908658096	0.4995809465409142	43334
