snp_rate,breakpoints,scj_distance,raw_inverted_fraction,observable_fraction,shared_tags,mash_distance
0.005,0,0,0.0,1.0,4935,0.005045004476188314
0.02,0,0,0.0,1.0,3153,0.02025236256835153
0.05,0,0,0.0,1.0,1227,0.051250066178927633
